state,county,damageCategory,structureType,typeOfResidency,foundationType,actualAmountPaid,numberOfProperties,propertyAction,propertyPartOfProject,programFy,date_approved_proxy,totalMitigationCost
Wisconsin,Trempealeau,50 - 99%,Single Family,Owner Occupied - Principal Residence,"Elevated On Piers, Piles, Posts Or Columns",105000.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,105000.0
West Virginia,Wyoming,Unknown,Single Family,Owner Occupied - Principal Residence,Other (Specify In Comments),240.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,240.0
Texas,Harris,50 - 99%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,49935.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,49935.0
Kentucky,Christian,Unknown,Single Family,Rental,Crawl Space,49300.0,1,Acquisition/Demolition,Unknown,2002,2002-09-30,49300.0
Pennsylvania,Allegheny,0 - 49%,Single Family,Owner Occupied - Principal Residence,Basement,77000.0,1,Unknown,Unknown,2005,2005-09-30,77000.0
Louisiana,Orleans,50 - 99%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,0.0,1,Other (Specify In Comments),Unknown,2005,2005-09-30,0.0
Louisiana,Orleans,0 - 49%,Single Family,Unknown,Slab On Grade,7480.0,1,Unknown,Unknown,2005,2005-09-30,7480.0
Florida,Collier,Unknown,Single Family,Unknown,Slab On Grade,15385.0,1,Wind Retrofit,Unknown,2009,2009-09-30,15385.0
Alabama,Bibb,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,3918.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,3918.0
Alabama,Cullman,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,3746.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,3746.0
Alabama,Elmore,100%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,4000.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,4000.0
Ohio,Defiance,0 - 49%,Single Family,Owner Occupied - Principal Residence,Crawl Space,60500.0,1,Acquisition/Demolition,Unknown,2011,2011-09-30,60500.0
Florida,Columbia,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,8332.0,1,Acquisition/Demolition,Unknown,2012,2012-09-30,8332.0
Louisiana,Plaquemines,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,115391.0,1,Elevation,Unknown,2012,2012-09-30,115391.0
Colorado,El Paso,100%,Single Family,Rental,Basement,504023.0,1,Acquisition/Demolition,Unknown,2013,2013-09-30,504023.0
Oklahoma,Oklahoma,Unknown,Single Family,Unknown,Slab On Grade,169900.0,1,Acquisition/Demolition,Unknown,2017,2017-09-30,169900.0
Oklahoma,Major,Unknown,Single Family,Unknown,Slab On Grade,2000.0,1,Safe Room/Wind Shelter,Unknown,2017,2017-09-30,2000.0
Texas,Orange,Unknown,Vacant Land,Unknown,Vacant Land,0.0,1,Elevation,Unknown,2017,2017-09-30,0.0
Oklahoma,Carter,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,1987.0,1,Safe Room/Wind Shelter,Unknown,2017,2017-09-30,1987.0
Oklahoma,Stephens,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,2000.0,1,Safe Room/Wind Shelter,Unknown,2018,2018-09-30,2000.0
Oklahoma,Ottawa,50 - 99%,Non-Residential - Private,Unknown,"Elevated On Piers, Piles, Posts Or Columns",23500.0,1,Acquisition/Demolition,Unknown,2019,2019-09-30,23500.0
North Dakota,Cass,Unknown,Single Family,Owner Occupied - Principal Residence,Basement,397000.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,397000.0
North Dakota,Cass,Unknown,Single Family,Owner Occupied - Principal Residence,Basement,263000.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,263000.0
North Dakota,Cass,Unknown,Single Family,Unknown,Basement,329500.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,329500.0
Oklahoma,Love,Unknown,Manufactured Home,Owner Occupied - Principal Residence,"Elevated On Piers, Piles, Posts Or Columns",3290.0,1,Safe Room/Wind Shelter,Unknown,2021,2021-09-30,3290.0
Oklahoma,Love,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,3290.0,1,Safe Room/Wind Shelter,Unknown,2021,2021-09-30,3290.0
Iowa,Scott,0 - 49%,Single Family,Primary,Basement,31367.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,31367.0
Iowa,Scott,0 - 49%,Single Family,Unknown,Basement,56129.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,56129.0
Kansas,Labette,0 - 49%,Single Family,Primary,Crawl Space,10297.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,10297.0
Kansas,Labette,0 - 49%,Single Family,Primary,Crawl Space,10551.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,10551.0
Kansas,Labette,0 - 49%,Single Family,Unknown,Other (Specify In Comments),9449.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,9449.0
Kansas,Labette,0 - 49%,Single Family,Unknown,Other (Specify In Comments),19867.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,19867.0
Kansas,Labette,0 - 49%,Single Family,Unknown,Other (Specify In Comments),3125.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,3125.0
Missouri,Jefferson,0 - 49%,Manufactured Home,Unknown,Crawl Space,16000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,16000.0
Missouri,Jefferson,0 - 49%,Single Family,Primary,Crawl Space,20000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,20000.0
Missouri,Jefferson,0 - 49%,Single Family,Primary,Crawl Space,77500.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,77500.0
Missouri,Jefferson,0 - 49%,Single Family,Primary,Crawl Space,40000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,40000.0
Montana,Valley,50 - 99%,Single Family,Primary,Basement,66617.0,1,Elevation,1.0,2000,2000-09-30,66617.0
North Carolina,Mecklenburg,0 - 49%,Single Family,Primary,Basement,302436.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,302436.0
North Carolina,Mecklenburg,0 - 49%,Single Family,Primary,Crawl Space,277000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,277000.0
North Dakota,Cass,0 - 49%,Single Family,Primary,Basement,59000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,59000.0
North Dakota,Cass,50 - 99%,Single Family,Primary,Basement,87000.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,87000.0
Iowa,Scott,Unknown,Single Family,Primary,Basement,29443.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,29443.0
Iowa,Scott,Unknown,Single Family,Primary,Crawl Space,97731.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,97731.0
Iowa,Scott,0 - 49%,Single Family,Primary,Slab On Grade,19107.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,19107.0
Iowa,Scott,0 - 49%,Single Family,Unknown,Slab On Grade,37955.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,37955.0
Maryland,Unknown,0 - 49%,Single Family,Unknown,Crawl Space,75000.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,75000.0
Mississippi,Harrison,0 - 49%,Single Family,Primary,Other (Specify In Comments),188813.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,188813.0
Nebraska,Douglas,0 - 49%,Single Family,Primary,Basement,80000.0,1,Acquisition/Demolition,1.0,2001,2001-09-30,80000.0
Iowa,Scott,0 - 49%,Single Family,Primary,Slab On Grade,44438.0,1,Acquisition/Relocation,1.0,2002,2002-09-30,44438.0
North Carolina,Mecklenburg,0 - 49%,Non-Residential - Private,Unknown,Slab On Grade,285000.0,1,Acquisition/Demolition,1.0,2002,2002-09-30,285000.0
North Carolina,Mecklenburg,50 - 99%,Non-Residential - Private,Unknown,Slab On Grade,155000.0,1,Acquisition/Demolition,1.0,2002,2002-09-30,155000.0
North Carolina,Beaufort,0 - 49%,Single Family,Primary,Crawl Space,45000.0,1,Elevation,1.0,2002,2002-09-30,45000.0
North Carolina,Carteret,0 - 49%,Single Family,Primary,Crawl Space,42888.0,1,Elevation,1.0,2002,2002-09-30,42888.0
North Carolina,Carteret,0 - 49%,Single Family,Primary,Slab On Grade,55404.0,1,Elevation,1.0,2002,2002-09-30,55404.0
North Dakota,Cass,0 - 49%,2-4 Family,Unknown,Slab On Grade,114609.0,1,Acquisition/Demolition,1.0,2002,2002-09-30,114609.0
Alaska,Unknown,50 - 99%,Single Family,Primary,Slab On Grade,90678.0,1,Acquisition/Relocation,1.0,2003,2003-09-30,90678.0
Florida,Duval,0 - 49%,Single Family,Primary,Other (Specify In Comments),231150.0,1,Acquisition/Demolition,1.0,2003,2003-09-30,231150.0
Florida,Lee,0 - 49%,Non-Residential - Private,Unknown,Slab On Grade,0.0,1,Elevation,1.0,2003,2003-09-30,0.0
Florida,Clay,0 - 49%,Single Family,Primary,Crawl Space,66904.0,1,Elevation,1.0,2003,2003-09-30,66904.0
Florida,Clay,0 - 49%,Single Family,Primary,Slab On Grade,85702.0,1,Elevation,1.0,2003,2003-09-30,85702.0
Florida,Escambia,50 - 99%,Single Family,Primary,Slab On Grade,118077.0,1,Elevation,1.0,2003,2003-09-30,118077.0
Florida,Hillsborough,0 - 49%,Single Family,Primary,Slab On Grade,130669.0,1,Elevation,1.0,2003,2003-09-30,130669.0
Florida,Monroe,0 - 49%,Single Family,Primary,Slab On Grade,145054.0,1,Elevation,1.0,2003,2003-09-30,145054.0
Florida,Unknown,0 - 49%,Single Family,Primary,Slab On Grade,280329.0,1,Elevation,1.0,2003,2003-09-30,280329.0
Iowa,Benton,Unknown,Single Family,Primary,Basement,52765.0,1,Acquisition/Demolition,1.0,2004,2004-09-30,52765.0
Iowa,Black Hawk,Unknown,Single Family,Primary,Basement,63400.0,1,Acquisition/Demolition,1.0,2004,2004-09-30,63400.0
Florida,Citrus,Unknown,Non-Residential - Public,Other (Specify In Comments),Slab On Grade,38019.0,1,Wildfire Retrofit,1.0,2000,2000-09-30,38019.0
Florida,Leon,Unknown,Non-Residential - Public,Owner Occupied - Principal Residence,Basement,28095.0,1,Wildfire Retrofit,1.0,2000,2000-09-30,28095.0
Florida,Miami-Dade,Unknown,Multi-Family Dwelling - 5 Or More Units,Other (Specify In Comments),Slab On Grade,88337.0,1,Wind Retrofit,1.0,2000,2000-09-30,88337.0
Florida,Okeechobee,Unknown,Non-Residential - Private,Not Applicable,Slab On Grade,12132.0,1,Wind Retrofit,1.0,2000,2000-09-30,12132.0
Florida,Desoto,Unknown,Non-Residential - Public,Not Applicable,Basement,37021.0,1,Wind Retrofit,1.0,2000,2000-09-30,37021.0
Florida,Desoto,Unknown,Non-Residential - Public,Not Applicable,Basement,277216.0,1,Wind Retrofit,1.0,2000,2000-09-30,277216.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Crawl Space,30481.0,1,Wind Retrofit,1.0,2000,2000-09-30,30481.0
Florida,St. Johns,Unknown,Non-Residential - Public,Not Applicable,"Elevated On Piers, Piles, Posts Or Columns",59068.0,1,Wind Retrofit,1.0,2000,2000-09-30,59068.0
Florida,Manatee,Unknown,Non-Residential - Public,Not Applicable,Other (Specify In Comments),56980.0,1,Wind Retrofit,1.0,2000,2000-09-30,56980.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,13967.0,1,Wind Retrofit,1.0,2000,2000-09-30,13967.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,176930.0,1,Wind Retrofit,1.0,2000,2000-09-30,176930.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,17827.0,1,Wind Retrofit,1.0,2000,2000-09-30,17827.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,19089.0,1,Wind Retrofit,1.0,2000,2000-09-30,19089.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,19746.0,1,Wind Retrofit,1.0,2000,2000-09-30,19746.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,22215.0,1,Wind Retrofit,1.0,2000,2000-09-30,22215.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,29396.0,1,Wind Retrofit,1.0,2000,2000-09-30,29396.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,30417.0,1,Wind Retrofit,1.0,2000,2000-09-30,30417.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,32484.0,1,Wind Retrofit,1.0,2000,2000-09-30,32484.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,39027.0,1,Wind Retrofit,1.0,2000,2000-09-30,39027.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,77464.0,1,Wind Retrofit,1.0,2000,2000-09-30,77464.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,109699.0,1,Wind Retrofit,1.0,2000,2000-09-30,109699.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,47713.0,1,Wind Retrofit,1.0,2000,2000-09-30,47713.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,53335.0,1,Wind Retrofit,1.0,2000,2000-09-30,53335.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,56263.0,1,Wind Retrofit,1.0,2000,2000-09-30,56263.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,56624.0,1,Wind Retrofit,1.0,2000,2000-09-30,56624.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,61669.0,1,Wind Retrofit,1.0,2000,2000-09-30,61669.0
Florida,Bay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,616690.0,1,Wind Retrofit,1.0,2000,2000-09-30,616690.0
Florida,Bradford,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,8416.0,1,Wind Retrofit,1.0,2000,2000-09-30,8416.0
Florida,Bradford,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,30806.0,1,Wind Retrofit,1.0,2000,2000-09-30,30806.0
Florida,Bradford,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,135080.0,1,Wind Retrofit,1.0,2000,2000-09-30,135080.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,165464.0,1,Wind Retrofit,1.0,2000,2000-09-30,165464.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,91986.0,1,Wind Retrofit,1.0,2000,2000-09-30,91986.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,95283.0,1,Wind Retrofit,1.0,2000,2000-09-30,95283.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,286000.0,1,Wind Retrofit,1.0,2000,2000-09-30,286000.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,384000.0,1,Wind Retrofit,1.0,2000,2000-09-30,384000.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,95762.0,1,Wind Retrofit,1.0,2000,2000-09-30,95762.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,4810.0,1,Wind Retrofit,1.0,2000,2000-09-30,4810.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,76370.0,1,Wind Retrofit,1.0,2000,2000-09-30,76370.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,33000.0,1,Wind Retrofit,1.0,2000,2000-09-30,33000.0
Florida,Brevard,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,95001.0,1,Wind Retrofit,1.0,2000,2000-09-30,95001.0
Florida,Calhoun,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,74836.0,1,Wind Retrofit,1.0,2000,2000-09-30,74836.0
Florida,Citrus,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,46501.0,1,Wind Retrofit,1.0,2000,2000-09-30,46501.0
Florida,Citrus,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,47047.0,2,Wind Retrofit,1.0,2000,2000-09-30,94094.0
Florida,Citrus,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,47991.0,1,Wind Retrofit,1.0,2000,2000-09-30,47991.0
Florida,Citrus,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,393330.0,1,Wind Retrofit,1.0,2000,2000-09-30,393330.0
Florida,Clay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,40939.0,2,Wind Retrofit,1.0,2000,2000-09-30,81878.0
Florida,Clay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,35976.0,1,Wind Retrofit,1.0,2000,2000-09-30,35976.0
Florida,Clay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,34598.0,2,Wind Retrofit,1.0,2000,2000-09-30,69196.0
Florida,Clay,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,43591.0,1,Wind Retrofit,1.0,2000,2000-09-30,43591.0
Florida,Collier,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,20748.0,1,Wind Retrofit,1.0,2000,2000-09-30,20748.0
Florida,Collier,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,8380.0,1,Wind Retrofit,1.0,2000,2000-09-30,8380.0
Florida,Duval,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,185429.0,1,Wind Retrofit,1.0,2000,2000-09-30,185429.0
Florida,Duval,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,90986.0,1,Wind Retrofit,1.0,2000,2000-09-30,90986.0
Florida,Duval,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,44617.0,1,Wind Retrofit,1.0,2000,2000-09-30,44617.0
Florida,Duval,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,90839.0,1,Wind Retrofit,1.0,2000,2000-09-30,90839.0
Florida,Duval,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,121437.0,1,Wind Retrofit,1.0,2000,2000-09-30,121437.0
Florida,Escambia,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,27495.0,1,Wind Retrofit,1.0,2000,2000-09-30,27495.0
Florida,Escambia,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,31634.0,1,Wind Retrofit,1.0,2000,2000-09-30,31634.0
Florida,Flagler,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,228818.0,1,Wind Retrofit,1.0,2000,2000-09-30,228818.0
Florida,Flagler,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,221718.0,1,Wind Retrofit,1.0,2000,2000-09-30,221718.0
Florida,Flagler,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,57908.0,1,Wind Retrofit,1.0,2000,2000-09-30,57908.0
Florida,Gilchrist,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,6575.0,1,Wind Retrofit,1.0,2000,2000-09-30,6575.0
Florida,Gilchrist,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,232240.0,1,Wind Retrofit,1.0,2000,2000-09-30,232240.0
Florida,Gilchrist,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,33000.0,1,Wind Retrofit,1.0,2000,2000-09-30,33000.0
Florida,Gilchrist,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,43763.0,1,Wind Retrofit,1.0,2000,2000-09-30,43763.0
Florida,Gilchrist,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,56331.0,1,Wind Retrofit,1.0,2000,2000-09-30,56331.0
Florida,Hamilton,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,20636.0,1,Wind Retrofit,1.0,2000,2000-09-30,20636.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,81616.0,1,Wind Retrofit,1.0,2000,2000-09-30,81616.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,132955.0,1,Wind Retrofit,1.0,2000,2000-09-30,132955.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,7194.0,1,Wind Retrofit,1.0,2000,2000-09-30,7194.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,42020.0,1,Wind Retrofit,1.0,2000,2000-09-30,42020.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,59233.0,1,Wind Retrofit,1.0,2000,2000-09-30,59233.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,60408.0,1,Wind Retrofit,1.0,2000,2000-09-30,60408.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,74693.0,1,Wind Retrofit,1.0,2000,2000-09-30,74693.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,92068.0,1,Wind Retrofit,1.0,2000,2000-09-30,92068.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,75491.0,1,Wind Retrofit,1.0,2000,2000-09-30,75491.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,27438.0,1,Wind Retrofit,1.0,2000,2000-09-30,27438.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,49737.0,1,Wind Retrofit,1.0,2000,2000-09-30,49737.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,65634.0,1,Wind Retrofit,1.0,2000,2000-09-30,65634.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,67706.0,1,Wind Retrofit,1.0,2000,2000-09-30,67706.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,57347.0,1,Wind Retrofit,1.0,2000,2000-09-30,57347.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,58712.0,1,Wind Retrofit,1.0,2000,2000-09-30,58712.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,63390.0,1,Wind Retrofit,1.0,2000,2000-09-30,63390.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,77241.0,1,Wind Retrofit,1.0,2000,2000-09-30,77241.0
Florida,Hillsborough,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,81857.0,1,Wind Retrofit,1.0,2000,2000-09-30,81857.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,12078.0,1,Wind Retrofit,1.0,2000,2000-09-30,12078.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,2066.0,1,Wind Retrofit,1.0,2000,2000-09-30,2066.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,14737.0,1,Wind Retrofit,1.0,2000,2000-09-30,14737.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,140480.0,1,Wind Retrofit,1.0,2000,2000-09-30,140480.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,799916.0,1,Wind Retrofit,1.0,2000,2000-09-30,799916.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,74810.0,1,Wind Retrofit,1.0,2000,2000-09-30,74810.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,2283.0,1,Wind Retrofit,1.0,2000,2000-09-30,2283.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,95332.0,1,Wind Retrofit,1.0,2000,2000-09-30,95332.0
Florida,Indian River,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,22243.0,1,Wind Retrofit,1.0,2000,2000-09-30,22243.0
Florida,Jackson,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,112122.0,1,Wind Retrofit,1.0,2000,2000-09-30,112122.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,21576.0,1,Wind Retrofit,1.0,2000,2000-09-30,21576.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,24031.0,1,Wind Retrofit,1.0,2000,2000-09-30,24031.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,38792.0,1,Wind Retrofit,1.0,2000,2000-09-30,38792.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,45159.0,1,Wind Retrofit,1.0,2000,2000-09-30,45159.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,47500.0,1,Wind Retrofit,1.0,2000,2000-09-30,47500.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,54893.0,1,Wind Retrofit,1.0,2000,2000-09-30,54893.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,54894.0,1,Wind Retrofit,1.0,2000,2000-09-30,54894.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,55408.0,1,Wind Retrofit,1.0,2000,2000-09-30,55408.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,59434.0,2,Wind Retrofit,1.0,2000,2000-09-30,118868.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,60988.0,1,Wind Retrofit,1.0,2000,2000-09-30,60988.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,75278.0,1,Wind Retrofit,1.0,2000,2000-09-30,75278.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,77551.0,2,Wind Retrofit,1.0,2000,2000-09-30,155102.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,3857.0,1,Wind Retrofit,1.0,2000,2000-09-30,3857.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,13100.0,1,Wind Retrofit,1.0,2000,2000-09-30,13100.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,16846.0,1,Wind Retrofit,1.0,2000,2000-09-30,16846.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,16965.0,1,Wind Retrofit,1.0,2000,2000-09-30,16965.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,17242.0,1,Wind Retrofit,1.0,2000,2000-09-30,17242.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,17672.0,1,Wind Retrofit,1.0,2000,2000-09-30,17672.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,18172.0,1,Wind Retrofit,1.0,2000,2000-09-30,18172.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,21848.0,1,Wind Retrofit,1.0,2000,2000-09-30,21848.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,23779.0,1,Wind Retrofit,1.0,2000,2000-09-30,23779.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,32057.0,2,Wind Retrofit,1.0,2000,2000-09-30,64114.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,35421.0,1,Wind Retrofit,1.0,2000,2000-09-30,35421.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,39240.0,2,Wind Retrofit,1.0,2000,2000-09-30,78480.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,44064.0,1,Wind Retrofit,1.0,2000,2000-09-30,44064.0
Florida,Leon,Unknown,Non-Residential - Public,Not Applicable,Slab On Grade,47943.0,1,Wind Retrofit,1.0,2000,2000-09-30,47943.0
