Feature,Coefficient
cat__state_Utah,3.4714870905601884
cat__state_Connecticut,3.185966919702656
cat__state_Delaware,3.1603218403632005
cat__state_Colorado,3.133489374907243
cat__state_New Jersey,2.6513979288014182
cat__structureType_Non-Residential - Public,2.5639468782674024
cat__state_Nevada,2.3257364966130636
cat__state_Arkansas,2.177133632996844
cat__state_Rhode Island,2.148058916965959
cat__state_Wyoming,2.033654907854258
